date,plant_energy
2023-01-01,31124.0
2023-01-02,27481.0
2023-01-03,34559.0
2023-01-04,35418.0
2023-01-05,37479.0
2023-01-06,37194.0
2023-01-07,32070.0
2023-01-08,33325.0
2023-01-09,38059.0
2023-01-10,40736.0
2023-01-11,39458.0
2023-01-12,42590.0
2023-01-13,44306.0
2023-01-14,44805.0
2023-01-15,41644.0
2023-01-16,40896.0
2023-01-17,41998.0
2023-01-18,39780.0
2023-01-19,38438.0
2023-01-20,38351.0
2023-01-21,36674.0
2023-01-22,34638.0
2023-01-23,39326.0
2023-01-24,41070.0
2023-01-25,34135.0
2023-01-26,34379.0
2023-01-27,37990.0
2023-01-28,33316.0
2023-01-29,27545.0
2023-01-30,30026.0
2023-01-31,30912.0
2023-02-01,40219.0
2023-02-02,37575.0
2023-02-03,43840.0
2023-02-04,45100.0
2023-02-05,46177.0
2023-02-06,48222.0
2023-02-07,46720.0
2023-02-08,51107.0
2023-02-09,49624.0
2023-02-10,49481.0
2023-02-11,44969.0
2023-02-12,47103.0
2023-02-13,51362.0
2023-02-14,53605.0
2023-02-15,44622.0
2023-02-16,41835.0
2023-02-17,40278.0
2023-02-18,40651.0
2023-02-19,43354.0
2023-02-20,42179.0
2023-02-21,45108.0
2023-02-22,31565.0
2023-02-23,42988.0
2023-02-24,44418.0
2023-02-25,43448.0
2023-02-26,34421.0
2023-02-27,36656.0
2023-02-28,42159.0
2023-03-01,43627.0
2023-03-02,43329.0
2023-03-03,43430.0
2023-03-04,39758.0
2023-03-05,41235.0
2023-03-06,40570.0
2023-03-07,44539.0
2023-03-08,49922.0
2023-03-09,51371.0
2023-03-10,54052.0
2023-03-11,53124.0
2023-03-12,52839.0
2023-03-13,46884.0
2023-03-14,45212.0
2023-03-15,50739.0
2023-03-16,52728.0
2023-03-17,53741.0
2023-03-18,53042.0
2023-03-19,53390.0
2023-03-20,55713.0
2023-03-21,55795.0
2023-03-22,56328.0
2023-03-23,57740.0
2023-03-24,63657.0
2023-03-25,59268.0
2023-03-26,57448.0
2023-03-27,58624.0
2023-03-28,57758.0
2023-03-29,55693.0
2023-03-30,58141.0
2023-03-31,59114.0
2023-04-01,58785.0
2023-04-02,58023.0
